id_snippet,modello,layer_locus,cos_sim_stesso_layer,cos_sim_penultimo_layer
290,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2064208984375
291,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1807861328125
292,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1744384765625
295,meta-llama/Llama-3.1-8B-Instruct,15,,-0.20263671875
296,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1798095703125
297,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2210693359375
298,meta-llama/Llama-3.1-8B-Instruct,15,,-0.17236328125
299,meta-llama/Llama-3.1-8B-Instruct,15,,-0.18701171875
300,meta-llama/Llama-3.1-8B-Instruct,15,,-0.186767578125
301,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1871337890625
302,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1826171875
303,meta-llama/Llama-3.1-8B-Instruct,15,,-0.166748046875
304,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2022705078125
305,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1995849609375
306,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2044677734375
307,meta-llama/Llama-3.1-8B-Instruct,15,,-0.185302734375
308,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1690673828125
309,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2164306640625
310,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2108154296875
311,meta-llama/Llama-3.1-8B-Instruct,15,,-0.19091796875
312,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1739501953125
313,meta-llama/Llama-3.1-8B-Instruct,15,,-0.183837890625
314,meta-llama/Llama-3.1-8B-Instruct,15,,-0.21435546875
315,meta-llama/Llama-3.1-8B-Instruct,15,,-0.211181640625
316,meta-llama/Llama-3.1-8B-Instruct,15,,-0.203369140625
317,meta-llama/Llama-3.1-8B-Instruct,15,,-0.177490234375
319,meta-llama/Llama-3.1-8B-Instruct,15,,-0.194580078125
320,meta-llama/Llama-3.1-8B-Instruct,15,,-0.204833984375
322,meta-llama/Llama-3.1-8B-Instruct,15,,-0.194580078125
323,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1700439453125
324,meta-llama/Llama-3.1-8B-Instruct,15,,-0.18994140625
325,meta-llama/Llama-3.1-8B-Instruct,15,,-0.18408203125
327,meta-llama/Llama-3.1-8B-Instruct,15,,-0.19384765625
328,meta-llama/Llama-3.1-8B-Instruct,15,,-0.211181640625
329,meta-llama/Llama-3.1-8B-Instruct,15,,-0.21337890625
330,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2008056640625
