MODELLO,LAYER,Cosine_AA_vs_AP,Cosine_AA_vs_PI,Cosine_AP_vs_PI
Qwen/Qwen2.5-Coder-7B-Instruct,26,0.5049206614494324,0.22831463813781738,0.20674479007720947
Qwen/Qwen2.5-Coder-7B-Instruct,27,0.4574715495109558,0.22295312583446503,0.206867516040802
Qwen/Qwen2.5-Coder-7B-Instruct,28,0.4547397792339325,0.2572523355484009,0.3240697383880615
meta-llama/Llama-3.1-8B-Instruct,0,0.0,0.0,0.0
meta-llama/Llama-3.1-8B-Instruct,1,0.48516517877578735,0.24104562401771545,0.5321938991546631
meta-llama/Llama-3.1-8B-Instruct,2,0.45284658670425415,0.2063799500465393,0.5704536437988281
meta-llama/Llama-3.1-8B-Instruct,3,0.4858301281929016,0.20337368547916412,0.46962136030197144
meta-llama/Llama-3.1-8B-Instruct,4,0.4718391001224518,0.20081429183483124,0.39284539222717285
meta-llama/Llama-3.1-8B-Instruct,5,0.5499436855316162,0.3124363422393799,0.42972901463508606
meta-llama/Llama-3.1-8B-Instruct,6,0.5238934755325317,0.23880964517593384,0.4659246504306793
meta-llama/Llama-3.1-8B-Instruct,7,0.5333685278892517,0.25002843141555786,0.5328309535980225
meta-llama/Llama-3.1-8B-Instruct,8,0.6328723430633545,0.33672472834587097,0.6214919686317444
meta-llama/Llama-3.1-8B-Instruct,9,0.6540220975875854,0.35039058327674866,0.5928918719291687
meta-llama/Llama-3.1-8B-Instruct,10,0.666225016117096,0.3658066987991333,0.5621997117996216
meta-llama/Llama-3.1-8B-Instruct,11,0.6808916926383972,0.33658507466316223,0.5386747121810913
meta-llama/Llama-3.1-8B-Instruct,12,0.6876188516616821,0.2923949956893921,0.5258123278617859
meta-llama/Llama-3.1-8B-Instruct,13,0.6858528852462769,0.2593340277671814,0.4808301031589508
meta-llama/Llama-3.1-8B-Instruct,14,0.6575868725776672,0.09798165410757065,0.35119834542274475
meta-llama/Llama-3.1-8B-Instruct,15,0.5822376012802124,0.017015844583511353,0.38791078329086304
meta-llama/Llama-3.1-8B-Instruct,16,0.5903613567352295,0.12432926148176193,0.3558969795703888
meta-llama/Llama-3.1-8B-Instruct,17,0.6066029667854309,0.2561074495315552,0.3461146354675293
meta-llama/Llama-3.1-8B-Instruct,18,0.6105024218559265,0.35899266600608826,0.327690064907074
meta-llama/Llama-3.1-8B-Instruct,19,0.6269228458404541,0.4228545129299164,0.35619884729385376
meta-llama/Llama-3.1-8B-Instruct,20,0.6536250710487366,0.45804253220558167,0.3698202073574066
meta-llama/Llama-3.1-8B-Instruct,21,0.6274800896644592,0.49568289518356323,0.35936468839645386
meta-llama/Llama-3.1-8B-Instruct,22,0.6212985515594482,0.49197930097579956,0.35788366198539734
meta-llama/Llama-3.1-8B-Instruct,23,0.5907137989997864,0.47823259234428406,0.34460020065307617
meta-llama/Llama-3.1-8B-Instruct,24,0.5881778597831726,0.5018012523651123,0.33695486187934875
meta-llama/Llama-3.1-8B-Instruct,25,0.5727559924125671,0.49354875087738037,0.32585716247558594
meta-llama/Llama-3.1-8B-Instruct,26,0.5637654662132263,0.4825173616409302,0.31155961751937866
meta-llama/Llama-3.1-8B-Instruct,27,0.5353632569313049,0.495844304561615,0.3081773519515991
meta-llama/Llama-3.1-8B-Instruct,28,0.5181087851524353,0.47112950682640076,0.2916928827762604
meta-llama/Llama-3.1-8B-Instruct,29,0.5080506801605225,0.4726005792617798,0.28747010231018066
