MODELLO,LAYER,Delta_AA,Delta_PI,Delta_AP,Base_AA,Base_PI,Base_AP
deepseek-ai/deepseek-coder-6.7b-instruct,2,-0.1025390625,-0.0087890625,-0.0283203125,-0.684375,-0.6318359375,-0.6516927083333334
deepseek-ai/deepseek-coder-6.7b-instruct,3,-0.06204481124877931,0.0198974609375,-0.0785980224609375,-0.2994962692260742,-0.3226318359375,-0.2985585530598958
deepseek-ai/deepseek-coder-6.7b-instruct,4,-0.24091796875000004,-0.21240234375,-0.22945149739583326,-1.41728515625,-1.6650390625,-1.3400065104166667
deepseek-ai/deepseek-coder-6.7b-instruct,5,-0.15947265624999996,-0.3974609375,-0.14778645833333334,-0.28232421875,-0.462890625,-0.15885416666666666
deepseek-ai/deepseek-coder-6.7b-instruct,6,-0.10976562499999998,-0.75,-0.05338541666666674,-0.68125,-0.751953125,-0.5895182291666666
deepseek-ai/deepseek-coder-6.7b-instruct,7,-0.13749999999999996,-0.46875,0.10026041666666652,0.65078125,0.33203125,1.0143229166666667
deepseek-ai/deepseek-coder-6.7b-instruct,8,-0.21757812499999973,-0.197265625,0.09049479166666652,2.722265625,1.8515625,2.66796875
deepseek-ai/deepseek-coder-6.7b-instruct,9,-0.3031250000000001,-0.375,-0.6354166666666665,3.83359375,3.046875,3.796875
deepseek-ai/deepseek-coder-6.7b-instruct,10,-0.22343750000000018,-0.51953125,0.01171875,3.40859375,3.11328125,3.1770833333333335
deepseek-ai/deepseek-coder-6.7b-instruct,11,-0.27187499999999964,-0.8359375,0.09635416666666696,2.940625,2.8203125,2.6666666666666665
deepseek-ai/deepseek-coder-6.7b-instruct,12,-0.3656250000000001,-0.5546875,-0.06510416666666674,2.178125,2.4296875,1.9609375
deepseek-ai/deepseek-coder-6.7b-instruct,13,-0.6765625,-0.84375,-0.22395833333333326,1.9734375,2.3046875,1.7421875
deepseek-ai/deepseek-coder-6.7b-instruct,14,-0.20625000000000004,-1.125,0.15104166666666663,-0.69375,-0.359375,-0.875
deepseek-ai/deepseek-coder-6.7b-instruct,15,-0.15156250000000004,-1.1796875,-0.17708333333333326,-0.6484375,-0.140625,-1.2421875
deepseek-ai/deepseek-coder-6.7b-instruct,16,-0.5671875000000001,-2.015625,-0.6614583333333335,-0.303125,-0.09375,-1.0520833333333333
deepseek-ai/deepseek-coder-6.7b-instruct,17,-2.0578125,-0.6171875,-1.127604166666667,0.6109375,-0.84375,-0.8932291666666666
deepseek-ai/deepseek-coder-6.7b-instruct,18,-1.6687499999999997,-2.1015625,-2.244791666666667,-2.2859375,-4.1484375,-3.4375
deepseek-ai/deepseek-coder-6.7b-instruct,19,-1.83125,-1.46875,-1.7682291666666665,-1.8,-4.3125,-2.9635416666666665
deepseek-ai/deepseek-coder-6.7b-instruct,20,-1.61875,-1.140625,-1.4062499999999996,-1.725,-3.265625,-2.8020833333333335
deepseek-ai/deepseek-coder-6.7b-instruct,21,-1.5625,-2.03125,-1.828125,-3.815625,-4.59375,-4.026041666666667
deepseek-ai/deepseek-coder-6.7b-instruct,22,-1.75625,-1.890625,-1.7239583333333335,-3.459375,-3.375,-3.7239583333333335
deepseek-ai/deepseek-coder-6.7b-instruct,23,-2.14375,-2.84375,-2.7916666666666665,-2.925,-3.046875,-3.3072916666666665
deepseek-ai/deepseek-coder-6.7b-instruct,24,-2.253125,-3.359375,-2.963541666666667,-2.6125,-2.921875,-3.015625
deepseek-ai/deepseek-coder-6.7b-instruct,25,-1.7031250000000004,-1.71875,-2.6458333333333335,-2.946875,-2.890625,-3.4010416666666665
deepseek-ai/deepseek-coder-6.7b-instruct,26,-2.040625,-1.765625,-2.8750000000000004,-3.1,-3.078125,-3.4791666666666665
deepseek-ai/deepseek-coder-6.7b-instruct,27,-2.1812499999999995,-1.75,-3.052083333333333,-2.075,-2.375,-2.40625
